Cites,Authors,Title,Year,keywords,Affiliations,PapersNum
0,KS Aloufi,Arabic Information retrieval:Applied on Quran,2011,,Taibah University,
0,KS Aloufi,Diacritic Oriented Arabic Information Retrieval System Full text,2011,"Search Engine, Information Retrieval Systems, Diacritics, Arabic Language, information Retrieval Performance Analysis ",Taibah University,
68,KS Aloufi,Strategic information systems alignment: alignment of IS/IT with business strategy,2010,"Information Systems, Information Systems, Business Planning, Planning Strategy, IT/IS Alignment",Taibah University,
1,KS Aloufi,Information retrieval of text with diacritics,2010,Information Retrievals; Natural Language Processing; Regular Expressions; Search Engines,Taibah University,
0,KS Aloufi,HADEETH LEARNING MANAGEMENT SYSTEMS,2010,"LMS, Islamic teaching, Hadeeth teaching, automatic referencing, Islamic information systems",Taibah University,
0,KS Aloufi,COMPUTING COURSES LEARNING MANAGEMENT SYSTEMS,2010,"e-Learning, LMS, Computing courses, programming courses teaching",Taibah University,
0,KS Aloufi,Intelligent system to manage the traffic lights in Medina,2008,,Taibah University,
1,KS Aloufi,Active Queue Management Design and Development based on the Correlation of Internet Traffic,2007,"Communication Networks, Congestion Control, Internet Traffic",Taibah University,
0,KS Aloufi,DESIGN OF ACTIVE QUEUE MANAGEMENT BASED ON THE CORRELATIONS IN INTERNET TRAFFIC,2007,"Active Queue Management, Random Early Detection, Long Range Dependence, Internet Traffic",Taibah University,
0,KS Aloufi,Active Queue Management based on the use of Self Similarity and Long Range Dependence found in Internet Traffic,2006,,Taibah University,
0,KS Aloufi,Implications of Long Range Dependent processes on Internet Traffic and Congestion Control Mechanisms,2005,,Taibah University,
0,KS Aloufi,"Internet Traffic Congestion Control with RED,MSc thesis",2003,,Taibah University,
0,KS Aloufi,Embedding Internet Traffic Features in AQM,2006,"Self-similarity,LRD,Internet traffic,AQM and RED",Taibah University,
49,KM Jambi,Novel mutation strategy for enhancing SHADE and LSHADE algorithms for global numerical optimization,2019,Evolutionary computation;Global optimization;Differential evolution;Novel ordered mutation,King Abdulaziz University,
10,KM Jambi,LSHADE-SPA memetic framework for solving large-scale optimization problems,2019,Evolutionary computation;Global optimization;Large-scale optimization;Differential evolution of LSHADESPA;Memetic framework,King Abdulaziz University,
1,KM Jambi,Towards Building an Arabic Plagiarism Detection System: Plagiarism Detection in Arabic,2019,"Arabic Plagiarism Corpus, Document Signature, Google API, Information Retrieval, Plagiarism Detection, Plagiarism in Arabic, Suspicious Document, Text Similarity",King Abdulaziz University,
11,KM Jambi,Single-objective real-parameter optimization: Enhanced LSHADE-SPACMA algorithm,2018,,King Abdulaziz University,
6,KM Jambi,A Survey on the Existing Arabic Optical Character Recognition and Future Trends,2018,"Optical Character Recognition, OCR, Pre-processing Operations, Segmentation, Optical Font Recognition",King Abdulaziz University,
87,KM Jambi,LSHADE with semi-parameter adaptation hybrid with CMA-ES for solving CEC 2017 benchmark problems,2017,"Numerical Optimization , Differential Evolution , LSHADE , Parameter adaptation",King Abdulaziz University,
12,KM Jambi,Query optimization in Arabic plagiarism detection: An empirical study,2015,"Arabic Plagiarism Detection, Query Generation, Query Optimization, Document Similarity, Arabic Natural Language Processing",King Abdulaziz University,
3,KM Jambi,Rectification of camera captured document images for camera-based OCR technology,2015,"OCR , Digital Camera Rectification , Skew , Perspective Distortion , Geometric Distortion",King Abdulaziz University,
8,KM Jambi,Educational Currículum Management on rural environment,2014," Education, Schools, Educative Centers, Students Curriculum, Rural Environments",King Abdulaziz University,
1,KM Jambi,Mobile Agent Framework for Distributed Network Performance Management,2014,"Network Management, Network Management Applications, Network Performance Management, Mobile Agents and Agent-based Management",King Abdulaziz University,
0,KM Jambi,An enhanced technique for image steganography using 2-levels PVD.,2007,"Steganography, Information hiding, LSB, PVD, Covert Communication",King Abdulaziz University,
0,KM Jambi,Using agent technology for recognizing Arabic handwriting words as a phase of document analysis,2005,"Document analysis, Arabic character recognition, Mobile agents",King Abdulaziz University,
0,KM Jambi,Building a Component-based Code Generation Tool.,2005,,King Abdulaziz University,
1,KM Jambi,Language identification in document analysis (LIDA).,2004,"Document Analysis, AI, Agent Technology",King Abdulaziz University,
2,KM Jambi,Different approaches for arabic signature recognition.,2001,"Arabic signature recognition,Back propagation natural network, Arabic character recognition",King Abdulaziz University,
4,KM Jambi,An Experimental approach for recognizing handwritten Arabic words,1995,,King Abdulaziz University,
0,KM Jambi,M2C: A Massive Performance and Energy Throttling Framework for High-Performance Computing Systems,2020,High performance computing; Exascale computing; compute unified device architecture,King Abdulaziz University,
0,KM Jambi,"Arabic calligraphy, typewritten and handwritten using optical character recognition (OCR) system",2019,"ARABIC OCR, SEGMENTATION, FEATURE EXTRACTION, CALLIGRAPHY, TYPEWRITTEN, HANDWRITTEN, HMM",King Abdulaziz University,
0,KM Jambi,Swarm and Evolutionary Computation,2018,"Statistical analysis, Nonparametric statistics, Pairwise comparisons, Multiple comparisons, Evolutionary algorithms, Swarm intelligence algorithms",King Abdulaziz University,
0,KM Jambi,Finding New KPIs for Faculty of Computing and Information Technology at KAU,2012,"Overall Pass Rate, Retention Rate, Program Completion Rate",King Abdulaziz University,
0,KM Jambi,Rectification of Camera Captured Document Images for Camera-Based OCR Technology,2015,"OCR , Digital Camera Rectification , Skew , Perspective Distortion , Geometric Distortion",King Abdulaziz University,
1,H Kurdi,A balanced evacuation algorithm for facilities with multiple exits,2021,"Simulation, Emergency evacuation, Multiple exits, Simulated annealing (SA), Depth-first search (DFS)",King Saud University,
0,H Kurdi,"Early Detection of Red Palm Weevil, Rhynchophorus ferrugineus (Olivier), Infestation Using Data Mining",2021,red palm weevil; Rhynchophorus ferrugineus; palm; infestation; prediction; data mining,King Saud University,
0,H Kurdi,"Face Gender Recognition in the Wild: An Extensive Performance Comparison of Deep-Learned, Hand-Crafted, and Fused Features with Deep and Traditional Models",2021,deep learning; gender recognition; CNN; SVM; deep-learned features; hand-crafted features; feature fusion,King Saud University,
0,H Kurdi,Fish-Inspired Task Allocation Algorithm for Multiple Unmanned Aerial Vehicles in Search and Rescue Missions,2021,disaster risk management; search and rescue; remote sensing; task allocation; bio-inspired algorithms; unmanned aerial vehicle; fish,King Saud University,
3,H Kurdi,Lightweight Building of an Electroencephalogram-Based Emotion Detection System,2020,brain–computer interface (BCI); electroencephalogram (EEG); EEG-based emotion detection; spiking neural network; NeuCube,King Saud University,
1,H Kurdi,Bee-inspired task allocation algorithm for multi-UAV search and rescue missions,2020,task allocation; bio-inspired algorithms; unmanned aerial vehicles; UAVs; distributed systems; search and rescue; SAR; optimisation problems,King Saud University,
1,H Kurdi,A Mobile Platform for Social Media Filters,2020,"Social media; cloud computing, Snapchat; Instagram; Twitter; IOS; Commercial filters application",King Saud University,
0,H Kurdi,WhatsTrust: A Trust Management System for WhatsApp,2020,trust; social networks; subjective logic; WhatsApp,King Saud University,
0,H Kurdi,An Adjusted Free-Market-Inspired Approach to Mitigate Free-Riding Behavior in Peer-to-Peer Fog Computing,2020,fog computing; peer-to-peer; free riding; free market; economy; cloud computing,King Saud University,
0,H Kurdi,Lightweight Building of an Electroencephalogram-Based Emotion Detection System,2020,brain–computer interface (BCI); electroencephalogram (EEG); EEG-based emotion detection; spiking neural network; NeuCube,King Saud University,
0,H Kurdi,Prediction of COVID-19 Individual Susceptibility using Demographic Data: A Case Study on Saudi Arabia,2020, COVID-19; susceptibility; machine learning; neural network; mlp; svm; decision tree; random forest,King Saud University,
0,H Kurdi,Path Planning Algorithm for Unmanned Ground Vehicles (UGVs) in Known Static Environments,2020,"OneByOne,Sort,Algorithm,search, complexity",King Saud University,
0,H Kurdi,"COVID-19 Spread in Saudi Arabia: Modeling, Simulation and Analysis",2020,COVID-19; simulation model; network-based epidemic model; contact network; node susceptibility,King Saud University,
0,H Kurdi,Comparative performance study of classification models for image-splicing detection,2020,image splicing; CNN; SVM; naïve Bayes; KNN,King Saud University,
0,H Kurdi,OneByOne (OBO): A Fast Sorting Algorithm,2020,"OneByOne; Sort; Algorithm, search; complexity",King Saud University,
0,H Kurdi,A Modified Degree Discount Heuristic for Influence Maximization in Social Networks,2020,Influence maximization; Information diffusion; Social networks,King Saud University,
0,H Kurdi,A Preprocessing Technique for Fast Convex Hull Computation,2020,convex hull; filtering technique; priority queue,King Saud University,
16,H Kurdi,Dynamic Task Allocation in an Autonomous Multi-UAV Mission,2019,,King Saud University,
8,H Kurdi,A lightweight trust management algorithm based on subjective logic for interconnected cloud computing environments,2019,"Trust management,Cloud computing,Interconnected cloud,TNA-SL algorithm,Subjective logic",King Saud University,
8,H Kurdi,Healthybroker: A trustworthy blockchain-based multi-cloud broker for patient-centered ehealth services,2019,eHealth services; patient-centered care; trust management; cloud computing; broker; blockchain technology,King Saud University,
7,H Kurdi,Cuckoo-inspired job scheduling algorithm for cloud computing,2019,"Bio-inspired, Cuckoo bird, Job Priority Scheduling, Cloud Computing",King Saud University,
4,H Kurdi,Adaptive task allocation for multi-UAV systems based on bacteria foraging behaviour,2019,"Task allocation, Unmanned aerial vehicles, Distributed systems, Multi-UAV systems, Bacteria inspiration, Optimisation problem, Red palm weevil",King Saud University,
4,H Kurdi,A Neural Network-Based Trust Management System for Edge Devices in Peer-to-Peer Networks,2019,"Trust management, neural networks, peer to peer, machine learning, edge devices",King Saud University,
3,H Kurdi,Enhanced Distance-Based Gossip Protocols for Wireless Sensor Networks,2019,"Wireless Sensor Networks , Gossip Protocol , City Block , Nearest Neighbor",King Saud University,
2,H Kurdi,A Hierarchical Trust Model for Peer-to-Peer Networks,2019,"Peer-to-peer network, trust management, reputation, malicious peers.",King Saud University,
2,H Kurdi,An energy-efficient gossiping protocol for wireless sensor networks using Chebyshev distance,2019,"Wireless Sensor Network, gossiping, routing protocol, energy-efficient",King Saud University,
2,H Kurdi,A Credit-Based Approach for Overcoming Free-Riding Behaviour in Peer-to-Peer Networks,2019,"Peer-to-peer network, free-riding, file sharing, credit",King Saud University,
1,H Kurdi,A Tweet-Ranking System Using Sentiment Scores and Popularity Measures,2019,"Twitter, Sentiment analysis, Retweet, favorite",King Saud University,
1,H Kurdi,Wajeez: An Extractive Automatic Arabic Text Summarisation System,2019,"Natural language processing, Text summarisation, Extractive approach, Arabic language, Sentence scoring methods, Ranking ",King Saud University,
1,H Kurdi,Baggage Handling and Delivery System,2019,,King Saud University,
0,H Kurdi,A Systematic Approach to Identify an Appropriate Classifier for Limited-Sized Data Sets,2019,"classification algorithms, classification, data mining, performance, small data sets",King Saud University,
0,H Kurdi,Service-Sharing Approach Using a Mutual Exclusion Algorithm for Smart Cashier Systems,2019,"Token-based mutual exclusion algorithm, mobile ad-hoc network, smart cashier system, time complexity, fairness",King Saud University,
18,H Kurdi,Autonomous task allocation for multi-UAV systems based on the locust elastic behavior,2018,"Multi-UAV,Task allocation,Unmanned aircraft systems,Bio-inspired algorithms,Search and rescue,Situation awareness,Soft computing",King Saud University,
17,H Kurdi,Effect of exit placement on evacuation plans,2018,"Simulation, Emergency evacuation, Exit placement, Simulated annealing (SA), Depth-first search (DFS)",King Saud University,
15,H Kurdi,MultiCuckoo: multi-cloud service composition using a cuckoo-inspired algorithm for the Internet of Things applications,2018,"Cloud computing, cuckoo-inspired algorithm, service composition, Internet of things, IoT",King Saud University,
9,H Kurdi,Red blood cell segmentation by thresholding and Canny detector,2018,"Red blood cells, Boundary-based segmentation, Gradient magnitude, Canny operator",King Saud University,
8,H Kurdi,LACE: A locust-inspired scheduling algorithm to reduce energy consumption in cloud datacenters,2018,"Cloud computing, energy efficiency, green cloud computing, power management, resource management, virtualization",King Saud University,
4,H Kurdi,Context-aware gossip-based protocol for Internet of Things applications,2018,Internet of Things (IoT); wireless sensor network (WSN); gossiping protocol; context-aware; content-aware; routing protocol,King Saud University,
4,H Kurdi,TrustyFeer: A Subjective Logic Trust Model for Smart City Peer-to-Peer Federated Clouds,2018,,King Saud University,
3,H Kurdi,Selecting accurate classifier models for a MERS-CoV dataset,2018,"Data mining, Medical data, Classification, Classifier model, MERS-CoV, Accuracy measurement, Cross-validation model",King Saud University,
3,H Kurdi,EERP: An enhanced EigenTrust algorithm for reputation management in peer-to-peer networks,2018,"Peer-to-peer networks, Reputation management, Trust management, EigenTrust",King Saud University,
2,H Kurdi,A Multi-UAV Task Allocation Algorithm Combatting Red Palm Weevil Infestation,2018,"Unmanned aerial vehicles, multi-UAV, bio-inspired algorithms, bacteria, red palm weevil, task allocation",King Saud University,
0,H Kurdi,Design and Implantation of a Voluntary Reading Mobile Application for People who are Visually Impaired,2018,"Visually impaired, reading, mobile application, accessibility",King Saud University,
6,H Kurdi,Authenticpeer++: A trust management system for p2p networks,2017,"P2P, Trust, Security, Reputation Management System, Reputation Algorithm, EigenTrust Algorithm, Simulation",King Saud University,
5,H Kurdi,Face recognition under varying illumination based on homomorphic filter and local binary patterns,2017,"Face recognition, illumination variations, preprocessing, features extraction, homomorphic filter, local binary patterns",King Saud University,
5,H Kurdi,Design and implementation of mobile cloud tourism application,2017,"Tourism, Planning, Scheduling, Android, Mobile Application",King Saud University,
5,H Kurdi,Hybrid resource discovery algorithms for unstructured peer-to-peer networks,2017,"peer-to-peer networks, distributed data, resource discovery",King Saud University,
4,H Kurdi,A fast genetic algorithm-based evacuation plan generator,2017,"Evacuation problem, Genetic algorithm, Evacuation process, Evacuation plan, Plan generator",King Saud University,
2,H Kurdi,A qos-aware and energy-efficient genetic resource allocation algorithm for cloud data centers,2017,"cloud computing , energy efficiency , genetic algorithm , resource allocation , SLA",King Saud University,
1,H Kurdi,Impacts of VPNs and Firewalls on Public Cloud Performance,2017,"cloud computing , firewall , VPN , riverbed modeler , Simulation",King Saud University,
28,H Kurdi,Bio-inspired algorithm for task allocation in multi-uav search and rescue missions,2016,,King Saud University,
9,H Kurdi,Review of energy reduction techniques for green cloud computing,2016,"Cloud Computing; Green Computing; Energy Efficiency; Power Management; Virtualization
",King Saud University,
7,H Kurdi,Green algorithm to reduce the energy consumption in cloud computing data centres,2016,"Cloud computing , Green computing , Energy efficiency , Power management , Virtualisation",King Saud University,
1,H Kurdi,Enhancing video streaming services by studying distance impact on the QoS in cloud computing environments,2016,"Cloud computing, video streaming, quality of service ",King Saud University,
0,H Kurdi,SFCS-Broker: Supporting Feedback Credibility Brokering Service for Multiple Clouds Environments,2016,"cloud computing, multiple clouds, cloud broker, Trust management",King Saud University,
0,H Kurdi,A mobile cloud application to minimize overbuying due to store deals,2016,,King Saud University,
65,H Kurdi,A combinatorial optimization algorithm for multiple cloud service composition,2015,"Combinational optimization, Web services, Service composition, Cloud computing, Multiple clouds, Cross-clouds",King Saud University,
26,H Kurdi,HonestPeer: An enhanced EigenTrust algorithm for reputation management in P2P systems,2015,"P2P, EigenTrust, Reputation management, Trust management, File sharing",King Saud University,
6,H Kurdi,AuthenticPeer: a reputation management system for peer-to-peer wireless sensor networks,2015,,King Saud University,
3,H Kurdi,Personal Mobile Grids: Ubiquitous Grid Environments for Personal Users.,2015,Personal Mobile Grids Ubiquitous Grid Environments for Personal Users,King Saud University,
0,H Kurdi,Design and Implementation of a Mobile Cloud Environmental Application for Riyadh City,2015,"Mobile application, Environmental software, Cloud computing, Android",King Saud University,
24,H Kurdi,Development and evaluation of a web based question answering system for Arabic language,2014,"Question Answering system, Natural Language Processing , Arabic language tools",King Saud University,
21,H Kurdi,Review of Closed Circuit Television (CCTV) Techniques for Vehicles Traffic Management,2014,"CCTV, Traffic control, sensors network, embedded systems",King Saud University,
8,H Kurdi,An algorithm for handling starvation and resource rejection in public clouds,2014,"Infrastructure as service, Resource Allocation, Haizea, Best-effort Starvation, Advance reservation to Best-effort",King Saud University,
7,H Kurdi,A hybrid approach for scheduling virtual machines in private clouds,2014,"Haizea, Cloud computing, virtual machines, Condors, cheduling",King Saud University,
4,H Kurdi,Towards a friendly user interface on the cloud,2014,"cloud computing, user interface, standardization, service ",King Saud University,
0,H Kurdi,Design and Implementation of a Personal Super Computer,2014,"Grid computing, personal networks, mobile devices, resource scheduling",King Saud University,
36,H Kurdi,Performance Analysis of load balancing Architectures in Cloud computing,2013,"component , cloud computing , load balancing , simulation",King Saud University,
18,H Kurdi,Review on aspect oriented programming,2013,Aspect Oriented Programming; software engineering; AspectJ,King Saud University,
7,H Kurdi,Lightweight symmetric encryption algorithm for secure database,2013,"Encryption; Security; Protection; Transposition;
Substitution; Folding; Shifting",King Saud University,
5,H Kurdi,Survey on Traffic Control using Closed Circuit Television (CCTV),2013,"CCTV, Traffic control, sensors network, embedded systems",King Saud University,
4,H Kurdi,Evaluating firewall models for hybrid clouds,2013,"cloud computing , hybrid cloud , firewall , network simulation , cloud security",King Saud University,
2,H Kurdi,Enhanced TSFS algorithm for secure database encryption,2013,"Encryption , Database Security , Transposition , Substitution , Folding , Shifting",King Saud University,
22,H Kurdi,Method of forming a personal mobile grid system and resource scheduling thereon,2012,,King Saud University,
11,H Kurdi,myPDA: a mobile healthcare application for personal diet assisting,2012,"Healthcare , Diet , Android , Mobile Applications",King Saud University,
1,H Kurdi,Design and evaluation of a personal mobile grid,2012,,King Saud University,
14,H Kurdi,Comparison of IEEE 802.11 and IEEE 802.15. 4 for future green multichannel multi-radio wireless sensor networks,2011," WPAN, WLAN, CSMA/CA, MAC, DCF, wireless sensor networks",King Saud University,
8,H Kurdi,Taxonomy of Grid Systems,2010,,King Saud University,
5,H Kurdi,Personal mobile grids with a honeybee inspired resource scheduler,2010,Grid computing;Resource scheduling;Honeybee inspired heuristics;Mobile computing;Personal networks,King Saud University,
88,H Kurdi,A classification of emerging and traditional grid systems,2008,"classification , grid computing , next generation grids",King Saud University,
6,H Kurdi,Intelligent MANET routing protocol selector,2008,"Ad hoc networks , genetic algorithm , neuro-fuzzy modelling , intelligent network",King Saud University,
5,H Kurdi,A generic framework for resource scheduling in personal mobile grids based on honeybee colony,2008,"Next generation mobile networks , grid , scheduling , honeybee , Ambient and pervasive networking",King Saud University,
0,H Kurdi,Solving Teacher Assignment problem by Asynchronous Cooperative Parallel Genetic Algorithm (May 2013),2014,"Asynchronous Cooperative Search, Genetic Algorithm, Parallel implementation, Teacher Assignment
problem.
Asynchronous Cooperative Search, Genetic Algorithm, Parallel implementation, Teacher Assignment
problem.
Asynchronous Cooperative Search, Genetic Algorithm, Parallel implementation, Teacher Assignment
problem",King Saud University,
0,H Kurdi,Private Grid Environment for Personal Users,2014,,King Saud University,
0,A Albeshri,COVID-19: Detecting Government Pandemic Measures and Public Concerns from Twitter Arabic Data Using Distributed Machine Learning,2021,COVID-19; coronavirus; machine learning; big data; social media; apache spark; Twitter; Arabic language; distributed computing; smart cities; smart healthcare; smart governance; Triple Bottom Line (TBL),King Abdulaziz University,
12,A Albeshri,"Sehaa: A big data analytics tool for healthcare symptoms and diseases detection using Twitter, Apache Spark, and Machine Learning",2020,smart cities; healthcare; Apache Spark; disease detection; symptoms detection; Arabic language; Saudi dialect; Twitter; machine learning; big data; high performance computing (HPC),King Abdulaziz University,
7,A Albeshri,Automatic detection and validation of smart city events using HPC and apache spark platforms,2020,"Smart cities, Big Data, High performance computing (HPC), Social media analysis, Machine learning, HPC and big data convergence, FEFS, Smart mobility, Event detection, Data management ",King Abdulaziz University,
6,A Albeshri,"Parallel shortest path big data graph computations of US road network using apache spark: survey, architecture, and evaluation",2020,"Big data, Parallel computing, Apache Spark, RDDs, Apache Hadoop, Graph analytics, Apache GraphX, Shortest paths, Road networks, Smart transportation",King Abdulaziz University,
5,A Albeshri,A Provably Secure and Lightweight Patient-Healthcare Authentication Protocol in Wireless Body Area Networks,2020,"Remote patient healthcare, Anonymity, Authentication, Authenticated health monitoring, Attacks",King Abdulaziz University,
5,A Albeshri,HCDSR: A hierarchical clustered fault tolerant routing technique for IoT-based smart societies,2020,"Smart city, IoT, WSN, Reliability, Fault tolerance, Energy, Routing",King Abdulaziz University,
5,A Albeshri,Hybrid statistical and machine learning methods for road traffic prediction: a review and tutorial,2020,"Traffic Prediction, GPS Data, Machine Learning, ARIMA, Statistical Analysis, Hybrid Methods, Apache Spark, Big Data",King Abdulaziz University,
4,A Albeshri,Performance Characteristics for Sparse Matrix-Vector Multiplication on GPUs,2020,"SpMV, Sparse matrix, Linear solver, GPU, Performance analysis",King Abdulaziz University,
4,A Albeshri,A survey of methods and tools for large-scale DNA mixture profiling,2020,"DNA profiling, Bioinformatics, Forensic science, Likelihood computations, High-performance computing, DNA mixture interpretation, DNA typing, Smart society",King Abdulaziz University,
3,A Albeshri,A secure and efficient remote patient‐monitoring authentication protocol for cloud‐IoT,2020,,King Abdulaziz University,
3,A Albeshri,Distributed artificial intelligence-as-a-service (daiaas) for smarter ioe and 6g environments,2020,internet of everything (IoE); 6th generation (6G) networks; artificial intelligence; Distributed AI as a Service (DAIaaS); fog computing; edge computing; cloud computing; smart airport; smart districts,King Abdulaziz University,
3,A Albeshri,"UbiPriSEQ—Deep reinforcement learning to manage privacy, security, energy, and QoS in 5G IoT hetnets",2020,5G networks; Internet of Things (IoT); fog computing; edge computing; cloud computing; Deep Reinforcement Learning (DRL); privacy; security; energy; quality of service (QoS),King Abdulaziz University,
1,A Albeshri,Hpc-smart infrastructures: A review and outlook on performance analysis methods and tools,2020,"Performance analysis, High performance computing (HPC), Cloud computing, Smart infrastructure, Supercomputers, Clusters, Benchmarks",King Abdulaziz University,
1,A Albeshri,Open Source and Open Data Licenses in the Smart Infrastructure Era: Review and License Selection Frameworks,2020,"Open source, Software license, Smart city, Open data, IoT, Big data, Survey ",King Abdulaziz University,
0,A Albeshri,DIESEL: A novel deep learning-based tool for SpMV computations and solving sparse linear equation systems,2020,"Sparse linear algebra, Sparse linear equation systems ,Sparse matrix vector product (SpMV) ,Iterative solvers ,Graphics processing units (GPUs), Artificial intelligence ,Deep learning",King Abdulaziz University,
0,A Albeshri,An Improved Lightweight Authentication Protocol for Wireless Body Area Networks,2020,"Authentication, wireless body area networks, patient healthcare, cryptography, medical sensors",King Abdulaziz University,
0,A Albeshri,Performance Analysis of Sparse Matrix-Vector Multiplication (SpMV) on Graphics Processing Units (GPUs),2020,sparse matrix-vector multiplication (SpMV); high performance computing (HPC); sparse matrix storage; graphics processing units (GPUs); CSR; ELL; HYB; CSR5; parallelization; heterogeneous computing,King Abdulaziz University,
0,A Albeshri,Community detection in networks using graph embeddings,2020,,King Abdulaziz University,
29,A Albeshri,"Smarter traffic prediction using big data, in-memory computing, deep learning and GPUs",2019,road traffic prediction; smart cities; deep learning; TensorFlow; graphics processing units (GPUs); convolution neural networks; in-memory computing; big data; smart transportation,King Abdulaziz University,
12,A Albeshri,Fast consensus clustering in complex networks,2019,,King Abdulaziz University,
12,A Albeshri,"Rapid transit systems: smarter urban planning using big data, in-memory computing, deep learning, and GPUs",2019,rapid transit systems; metro; London underground; tube; big data; deep learning; TensorFlow; Convolution Neural Networks (CNNs); in-memory computing; Graphics Processing Units (GPUs); transport planning; transport prediction; smart cities; smart transportation,King Abdulaziz University,
11,A Albeshri,Suraa: A novel method and tool for loadbalanced and coalesced spmv computations on gpus,2019,sparse matrix-vector multiplication (SpMV); high performance computing (HPC); graphics processing units; general-purpose computing on graphics processing units (GPGPUs); iterative methods; data analysis; sparse matrix storage; load balancing; coalesced memory access; thread divergence; Freedman–Diaconis rule,King Abdulaziz University,
10,A Albeshri,ZAKI+: A machine learning based process mapping tool for spmv computations on distributed memory architectures,2019,"Cyber-physical systems, SpMV, sparse linear algebra, sparse matrices, machine learning,
MPI, process affinity, compressed sparse row (CSR), decision trees, random forest, Xtreme boosting, parallel
computing, high performance computing (HPC), smart cities analytics, exascale systems, OpenMPI",King Abdulaziz University,
8,A Albeshri,TAAWUN: A decision fusion and feature specific road detection approach for connected autonomous vehicles,2019,"Autonomous Vehicles (AVs),Data fusion,Decision fusion,Deep learning,Random forest,C5.0,Road detection,Connected Autonomous Vehicles (CAVs),Connected vehicles (CVs),VANETs,V2V,V2X",King Abdulaziz University,
8,A Albeshri,ZAKI: A smart method and tool for automatic performance optimization of parallel SpMV computations on distributed memory machines,2019,"Parallel computing,Sparse matrix vector product (SpMV),Machine learning,Sparse linear equation systems,Distributed memory,MPI,Decision trees,Random forest,Gradient boosting",King Abdulaziz University,
0,A Albeshri,HPC-Smart Infrastructures: A Review and Outlook on Performance Analysis,2019,,King Abdulaziz University,
0,A Albeshri,Computer Generated Environment Utilizing Machine Learning Algorithms to Evaluate Dementia Patients,2019,"Dementia,Geriatric Medicine,Memory,Virtual Reality",King Abdulaziz University,
92,A Albeshri,UbeHealth: a personalized ubiquitous cloud and edge-enabled networked healthcare system for smart cities,2018,"Cloudlets, deep learning, Internet of Things (IoT), mobile edge computing, mobile
healthcare, preventive healthcare, traffic classification, traffic prediction, survey, fog computing, cloud
computing, multimedia applications, smart cities",King Abdulaziz University,
21,A Albeshri,Performance and power efficient massive parallel computational model for HPC heterogeneous exascale systems,2018,"Cloudlets, deep learning, Internet of Things (IoT), mobile edge computing, mobile
healthcare, preventive healthcare, traffic classification, traffic prediction, survey, fog computing, cloud
computing, multimedia applications, smart cities",King Abdulaziz University,
9,A Albeshri,A deep learning model to predict vehicles occupancy on freeways for traffic management,2018,"Deep Learning, Prediction, Intelligent Transport Systems, Deep
Neural Networks, PeMS traffic data",King Abdulaziz University,
7,A Albeshri,Toward exascale computing systems: An energy efficient massive parallel computational model,2018,"Exascale computing; high-performance computing
(HPC); massive parallelism; super computing; energy efficiency;
hybrid programming; CUDA; OpenMP; MPI",King Abdulaziz University,
5,A Albeshri,Analytical techniques for decision making on information security for big data breaches,2018,"Analytical techniques; big-data breaches; decision making; information security;
service rate",King Abdulaziz University,
4,A Albeshri,Cryptanalysis and improvement of a Multi-server Authentication protocol by Lu et al,2018,"Multi-server authentication, remote authentication, biometrics, cryptanalysis",King Abdulaziz University,
6,A Albeshri,A Framework for Faster Porting of Scientific Applications Between Heterogeneous Clouds,2018,Maintainability Code transformation Source-to-source translation Portability Heterogeneous architecture ,King Abdulaziz University,
0,A Albeshri,PSim: A Simulator for Estimation of Power Consumption in a Cluster,2018,"HPC; Energy Efficiency; Simulation; Power
Reduction",King Abdulaziz University,
173,A Albeshri,Data fusion and IoT for smart ubiquitous environments: A survey,2017,"Internet of Things, big data, data fusion, computational and artificial intelligence, high
performance computing, smart cities, smart societies, ubiquitous environments",King Abdulaziz University,
84,A Albeshri,UTiLearn: a personalised ubiquitous teaching and learning system for smart societies,2017,"Big data, computational and artificial intelligence, distance learning, high performance computing, Internet of Things",King Abdulaziz University,
55,A Albeshri,Enabling next generation logistics and planning for smarter societies,2017,"Smart Cities, Smart Societies, Big Data, High Performance Computing, Social network Analysis, Logistics, Planning, Transportation",King Abdulaziz University,
45,A Albeshri,Enabling smarter societies through mobile big data fogs and clouds,2017,"smart cities, mobile cloud computing, fog computing, big data, high performance computing, Google Maps notifications",King Abdulaziz University,
35,A Albeshri,Automatic event detection in smart cities using big data analytics,2017,"Smart cities, Big data, High performance computing, Social media analysis, Machine learning ",King Abdulaziz University,
26,A Albeshri,Parallel shortest path graph computations of United States road network data on apache spark,2017,"Big data, Apache spark, Apache hadoop, Graph analytics, Apache GraphX, Shortest paths, Road networks ",King Abdulaziz University,
25,A Albeshri,Disaster management in smart cities by forecasting traffic plan using deep learning and GPUs,2017,"Smart cities, Disaster management, Deep learning, GPUs, Convolution neural networks ",King Abdulaziz University,
17,A Albeshri,Enabling reliable and resilient IoT based smart city applications,2017,"Smart-city, IoT, WSN, Reliability, Fault tolerance, Energy, Routing",King Abdulaziz University,
14,A Albeshri,DNA profiling methods and tools: a review,2017,"DNA profiling, Bioinformatics, Forensic science, Likelihood computations, High-performance computing ",King Abdulaziz University,
12,A Albeshri,A privacy preserving authentication scheme for roaming in ubiquitous networks,2017,"Roaming user, Big data systems, Authentication, Ubiquitous networks, Anonymity, ProVerif",King Abdulaziz University,
